dex number,pokemon,Information links,Location,picture location ,location_html
001,Rowlet,https://www.serebii.net//pokedex-swsh/rowlet/,"Gift from Laventon, Space-time Distortion in Coronet Highlands or nearbyCoronet Highlands: Massive Mass Outbreak",https://www.serebii.net//legendsarceus/pokemon/small/722.png,"<td class=""fooinfo"">Gift from Laventon, <a href=""/pokearth/hisui/coronethighlands.shtml"">Space-time Distortion in Coronet Highlands</a> <i>or nearby</i><br/><a href=""/pokearth/hisui/coronethighlands.shtml""><b>Coronet Highlands</b>: Massive Mass Outbreak</a></td>"
002,Dartrix,https://www.serebii.net//pokedex-swsh/dartrix/,Space-time Distortion in Coronet Highlands or nearbyCoronet Highlands: Massive Mass Outbreak,https://www.serebii.net//legendsarceus/pokemon/small/723.png,"<td class=""fooinfo""><a href=""/pokearth/hisui/coronethighlands.shtml"">Space-time Distortion in Coronet Highlands</a> <i>or nearby</i><br/><a href=""/pokearth/hisui/coronethighlands.shtml""><b>Coronet Highlands</b>: Massive Mass Outbreak</a></td>"
003,Decidueye,https://www.serebii.net//pokedex-swsh/decidueye/,Space-time Distortion in Coronet Highlands or nearbyCoronet Highlands: Massive Mass Outbreak,https://www.serebii.net//legendsarceus/pokemon/small/724-h.png,"<td class=""fooinfo""><a href=""/pokearth/hisui/coronethighlands.shtml"">Space-time Distortion in Coronet Highlands</a> <i>or nearby</i><br/><a href=""/pokearth/hisui/coronethighlands.shtml""><b>Coronet Highlands</b>: Massive Mass Outbreak</a></td>"
004,Cyndaquil,https://www.serebii.net//pokedex-swsh/cyndaquil/,"Gift from Laventon, Space-time Distortion in Crimson Mirelands or nearbyCrimson Mirelands: Massive Mass Outbreak",https://www.serebii.net//legendsarceus/pokemon/small/155.png,"<td class=""fooinfo"">Gift from Laventon, <a href=""/pokearth/hisui/crimsonmirelands.shtml"">Space-time Distortion in Crimson Mirelands</a> <i>or nearby</i><br/><a href=""/pokearth/hisui/crimsonmirelands.shtml""><b>Crimson Mirelands</b>: Massive Mass Outbreak</a></td>"
005,Quilava,https://www.serebii.net//pokedex-swsh/quilava/,Space-time Distortion in Crimson Mirelands or nearbyCrimson Mirelands: Massive Mass Outbreak,https://www.serebii.net//legendsarceus/pokemon/small/156.png,"<td class=""fooinfo""><a href=""/pokearth/hisui/crimsonmirelands.shtml"">Space-time Distortion in Crimson Mirelands</a> <i>or nearby</i><br/><a href=""/pokearth/hisui/crimsonmirelands.shtml""><b>Crimson Mirelands</b>: Massive Mass Outbreak</a></td>"
006,Typhlosion,https://www.serebii.net//pokedex-swsh/typhlosion/,Space-time Distortion in Crimson Mirelands or nearbyCrimson Mirelands: Massive Mass Outbreak,https://www.serebii.net//legendsarceus/pokemon/small/157-h.png,"<td class=""fooinfo""><a href=""/pokearth/hisui/crimsonmirelands.shtml"">Space-time Distortion in Crimson Mirelands</a> <i>or nearby</i><br/><a href=""/pokearth/hisui/crimsonmirelands.shtml""><b>Crimson Mirelands</b>: Massive Mass Outbreak</a></td>"
007,Oshawott,https://www.serebii.net//pokedex-swsh/oshawott/,"Gift from Laventon, Space-time Distortion in Alabaster IcelandsAlabaster Icelands: Massive Mass Outbreak",https://www.serebii.net//legendsarceus/pokemon/small/501.png,"<td class=""fooinfo"">Gift from Laventon, <a href=""/pokearth/hisui/alabastericelands.shtml"">Space-time Distortion in Alabaster Icelands</a><br/><a href=""/pokearth/hisui/alabastericelands.shtml""><b>Alabaster Icelands</b>: Massive Mass Outbreak</a></td>"
008,Dewott,https://www.serebii.net//pokedex-swsh/dewott/,Space-time Distortion in Alabaster Icelands or nearbyAlabaster Icelands: Massive Mass Outbreak,https://www.serebii.net//legendsarceus/pokemon/small/502.png,"<td class=""fooinfo""><a href=""/pokearth/hisui/alabastericelands.shtml"">Space-time Distortion in Alabaster Icelands</a> <i>or nearby</i><br/><a href=""/pokearth/hisui/alabastericelands.shtml""><b>Alabaster Icelands</b>: Massive Mass Outbreak</a></td>"
009,Samurott,https://www.serebii.net//pokedex-swsh/samurott/,Space-time Distortion in Alabaster Icelands or nearbyAlabaster Icelands: Massive Mass Outbreak,https://www.serebii.net//legendsarceus/pokemon/small/503-h.png,"<td class=""fooinfo""><a href=""/pokearth/hisui/alabastericelands.shtml"">Space-time Distortion in Alabaster Icelands</a> <i>or nearby</i><br/><a href=""/pokearth/hisui/alabastericelands.shtml""><b>Alabaster Icelands</b>: Massive Mass Outbreak</a></td>"
010,Bidoof,https://www.serebii.net//pokedex-swsh/bidoof/,"Obsidian Fieldlands: Aspiration Hill, Horseshoe Plains, Tidewater Dam or nearbyCrimson Mirelands: Gapejaw Bog, Ursa's Ring, Droning Meadow or nearbyAlabaster Icelands: Avalugg's Legacy or nearbyObsidian Fieldlands: Massive Mass OutbreakAlabaster Icelands: Massive Mass Outbreak",https://www.serebii.net//legendsarceus/pokemon/small/399.png,"<td class=""fooinfo""><a href=""/pokearth/hisui/obsidianfieldlands.shtml""><b>Obsidian Fieldlands</b></a>: <a href=""/pokearth/hisui/aspirationhill.shtml"">Aspiration Hill</a>, <a href=""/pokearth/hisui/horseshoeplains.shtml"">Horseshoe Plains</a>, <a href=""/pokearth/hisui/tidewaterdam.shtml"">Tidewater Dam</a> <i>or nearby</i><br/><a href=""/pokearth/hisui/crimsonmirelands.shtml""><b>Crimson Mirelands</b></a>: <a href=""/pokearth/hisui/gapejawbog.shtml"">Gapejaw Bog</a>, <a href=""/pokearth/hisui/ursa'sring.shtml"">Ursa's Ring</a>, <a href=""/pokearth/hisui/droningmeadow.shtml"">Droning Meadow</a> <i>or nearby</i><br/><a href=""/pokearth/hisui/alabastericelands.shtml""><b>Alabaster Icelands</b></a>: <a href=""/pokearth/hisui/avalugg'slegacy.shtml"">Avalugg's Legacy</a> <i>or nearby</i><br/><a href=""/pokearth/hisui/obsidianfieldlands.shtml""><b>Obsidian Fieldlands</b>: Massive Mass Outbreak</a><br/><a href=""/pokearth/hisui/alabastericelands.shtml""><b>Alabaster Icelands</b>: Massive Mass Outbreak</a></td>"
